n;rounds;depth;time
100;21;19;0.000019817
100;18;17;0.000019306
100;18;14;0.000020759
100;19;14;0.000020028
100;20;16;0.000019897
100;21;17;0.000020038
100;15;11;0.000019085
100;18;14;0.000018956
100;16;12;0.000018695
100;18;14;0.000018916
100;21;17;0.000019616
100;20;16;0.000019075
100;20;16;0.000018625
100;19;15;0.000018685
100;21;16;0.000018786
100;20;15;0.000018635
100;20;16;0.000018705
100;18;13;0.000018494
100;16;11;0.000019236
100;17;12;0.000018043
100;21;16;0.000018454
100;15;10;0.000018645
100;19;14;0.000018345
100;16;12;0.000018334
100;17;13;0.000018324
100;18;14;0.000018736
100;21;17;0.000033773
100;18;13;0.000019456
100;19;14;0.000020608
100;18;14;0.000023224
100;19;15;0.000024556
100;15;11;0.000021961
100;24;22;0.000027362
100;28;27;0.000022913
100;23;21;0.000022762
100;23;22;0.000022211
100;32;31;0.000025017
100;22;20;0.000020188
100;26;24;0.000020398
100;29;27;0.000020188
100;27;25;0.000020158
100;33;31;0.000020048
100;34;33;0.000021961
100;24;22;0.000020068
100;25;23;0.000019636
100;27;26;0.000019787
100;24;22;0.000019677
100;25;24;0.000019897
100;25;24;0.000019537
100;32;31;0.000020318
100;34;33;0.000020188
100;20;19;0.000019586
100;26;25;0.000019526
100;33;31;0.000020018
100;31;29;0.000020017
100;28;27;0.000033593
100;26;25;0.000021821
100;22;21;0.00002644
100;25;24;0.000025488
100;31;29;0.000020548
100;21;19;0.000019727
100;25;23;0.000020138
100;21;20;0.000022352
100;20;19;0.00002128
100;20;19;0.000020268
100;21;20;0.000020328
100;16;15;0.000020048
100;26;25;0.000020107
100;21;20;0.000019827
100;21;20;0.000019566
100;20;19;0.000019526
100;20;19;0.000019587
100;18;17;0.000019436
100;21;20;0.000019016
100;14;13;0.000019427
100;15;14;0.000019446
100;20;19;0.000019467
100;20;19;0.000019456
100;17;16;0.000018815
100;20;19;0.000019227
100;15;14;0.000019216
100;25;24;0.000019867
100;22;21;0.000019216
100;23;22;0.000019206
100;22;21;0.000019146
100;20;19;0.000019457
100;18;17;0.000019115
100;19;18;0.000018986
100;21;20;0.000034194
100;20;19;0.000019417
100;20;19;0.000019216
100;22;21;0.000019236
100;26;25;0.00002129
100;26;25;0.00002117
100;22;21;0.000020799
100;20;19;0.000021009
100;29;28;0.000020689
100;17;15;0.000019627
100;25;24;0.000020268
100;29;28;0.000019917
100;25;24;0.000020118
100;22;21;0.000020128
100;27;26;0.000020478
100;23;22;0.000020068
100;30;29;0.000020218
100;19;18;0.000019757
100;29;28;0.000019857
100;23;22;0.000019778
100;27;26;0.000019586
100;22;21;0.000019777
100;27;26;0.000020148
100;27;26;0.000019617
100;25;24;0.000019727
100;28;27;0.000020278
100;26;25;0.000019898
100;21;20;0.000019095
100;22;21;0.000019868
100;23;22;0.000019556
100;29;28;0.000019798
100;25;24;0.000019336
100;19;18;0.000019737
100;28;27;0.000032371
100;21;19;0.000021971
100;24;22;0.000020458
100;19;17;0.000020168
100;22;18;0.000020619
100;23;19;0.000020298
100;23;19;0.000019667
100;21;17;0.000019927
100;22;18;0.000019597
100;19;15;0.000019166
100;20;18;0.000019366
100;26;24;0.000019747
100;26;22;0.000019487
100;24;22;0.000019487
100;22;18;0.000019055
100;28;24;0.000019517
100;25;23;0.000019487
100;25;21;0.000019556
100;18;14;0.000019156
100;26;22;0.000019337
100;17;15;0.000019406
100;22;18;0.000018986
100;27;23;0.000019276
100;22;20;0.000019176
100;20;16;0.000019386
100;21;17;0.000019767
100;21;17;0.000018786
100;23;19;0.000018955
100;19;15;0.000019206
100;20;16;0.000018756
100;24;20;0.000018995
600;31;29;0.00017092
600;39;38;0.000129994
600;31;29;0.000131747
600;32;30;0.000126016
600;30;27;0.000125165
600;35;33;0.000141635
600;41;40;0.000129493
600;28;27;0.000140694
600;37;35;0.000125425
600;42;40;0.000124654
600;40;39;0.000131687
600;26;25;0.00012271
600;41;40;0.000124593
600;33;30;0.000124494
600;35;33;0.000125024
600;32;31;0.000185838
600;31;28;0.000126457
600;43;40;0.000126487
600;41;39;0.000123441
600;30;27;0.000124463
600;39;37;0.000123842
600;36;35;0.00012277
600;32;29;0.000123932
600;29;28;0.000142017
600;35;34;0.000123601
600;28;24;0.000129483
600;30;28;0.00013853
600;37;35;0.000124944
600;31;29;0.000124724
600;42;41;0.000130204
600;46;45;0.000257553
600;34;33;0.000161132
600;45;44;0.000126016
600;42;41;0.000121427
600;45;44;0.000139101
600;46;45;0.000160611
600;35;34;0.000131857
600;45;44;0.000153899
600;33;32;0.000153207
600;36;35;0.000152115
600;43;42;0.000130966
600;45;44;0.00012804
600;39;38;0.000145182
600;43;42;0.000125084
600;51;50;0.000146174
600;43;42;0.000126518
600;52;51;0.000127499
600;39;38;0.000151463
600;49;48;0.000126427
600;42;41;0.000126537
600;51;50;0.000125224
600;43;42;0.000125425
600;36;35;0.000143609
600;45;44;0.000126397
600;46;45;0.000124193
600;41;40;0.000124583
600;48;47;0.000124784
600;37;36;0.000124614
600;49;48;0.000127919
600;48;47;0.000151744
600;42;40;0.000206888
600;34;32;0.00016509
600;38;36;0.000168786
600;38;36;0.000168235
600;45;43;0.000150062
600;36;34;0.000123752
600;40;38;0.000124503
600;39;37;0.000149901
600;39;37;0.000126356
600;36;34;0.000125055
600;33;31;0.000125124
600;39;37;0.000139221
600;44;42;0.000126718
600;40;38;0.000124994
600;39;37;0.000144902
600;41;39;0.000145252
600;35;33;0.000133881
600;37;35;0.000138109
600;33;31;0.000123602
600;29;27;0.000138119
600;33;31;0.000123852
600;35;33;0.000123321
600;31;29;0.000123682
600;36;34;0.000123712
600;31;29;0.000127238
600;43;41;0.000124313
600;32;30;0.000123963
600;30;28;0.000140764
600;40;38;0.000140613
600;42;40;0.000125005
600;46;44;0.000188353
600;48;46;0.00016548
600;44;42;0.000180728
600;45;43;0.000161773
600;35;33;0.000159799
600;40;38;0.000165571
600;46;44;0.000160641
600;41;39;0.000161723
600;41;39;0.000175178
600;45;43;0.00016049
600;37;35;0.000158958
600;47;45;0.000161563
600;43;41;0.000158177
600;42;40;0.000155802
600;38;36;0.000157365
600;49;47;0.000177112
600;43;41;0.000156784
600;35;33;0.000157936
600;47;45;0.000166492
600;37;35;0.000158166
600;46;44;0.000158738
600;40;38;0.000176521
600;43;41;0.000158667
600;40;38;0.000157225
600;45;43;0.000163456
600;30;27;0.000159508
600;33;31;0.000156563
600;31;29;0.000177923
600;37;35;0.000200706
600;43;41;0.00016029
600;41;40;0.000242274
600;34;33;0.000182903
600;33;32;0.000164348
600;35;34;0.000163917
600;51;50;0.000180969
600;43;42;0.000179567
600;39;38;0.000228979
600;46;45;0.000237335
600;49;48;0.000222327
600;34;33;0.000175259
600;34;33;0.000169418
600;37;36;0.000177001
600;45;44;0.00016495
600;47;46;0.000167574
600;38;37;0.000164348
600;39;38;0.000167073
600;37;36;0.000174668
600;45;44;0.000191308
600;38;37;0.000211166
600;43;42;0.000174197
600;47;46;0.00016567
600;42;41;0.000169188
600;31;30;0.000196748
600;33;32;0.000180769
600;34;33;0.000178645
600;33;32;0.000178926
600;36;35;0.000178364
600;42;41;0.000179506
600;30;29;0.000150803
600;35;34;0.000126006
600;50;48;0.000188664
600;45;43;0.000130876
600;50;49;0.00012849
600;45;43;0.00014441
600;49;48;0.00012795
600;47;45;0.000126637
600;40;38;0.000126797
600;55;53;0.000130695
600;53;52;0.000129743
600;34;31;0.000126247
600;40;38;0.000125936
600;48;47;0.000140844
600;43;41;0.000127339
600;33;31;0.000125986
600;45;43;0.000125475
600;43;41;0.000131357
600;53;51;0.000125174
600;51;50;0.000126097
600;35;33;0.000138189
600;41;39;0.000126787
600;49;48;0.000126878
600;39;37;0.000125646
600;51;50;0.000125906
600;40;38;0.000132388
600;39;37;0.000126748
600;46;45;0.000126387
600;39;38;0.000142447
600;53;51;0.000127609
600;36;34;0.000125615
600;55;54;0.000125245
600;51;49;0.000208671
600;54;52;0.000161112
600;38;36;0.00018102
600;41;39;0.000162434
600;38;36;0.000159379
600;35;33;0.000157185
600;35;33;0.000161062
600;52;50;0.000157234
600;38;36;0.000158306
600;41;39;0.000223409
600;47;45;0.000226525
600;44;42;0.000161723
600;37;35;0.000155792
600;40;38;0.000155
600;37;35;0.000173004
600;38;36;0.000157485
600;29;26;0.000155502
600;40;38;0.00015499
600;44;42;0.00015979
600;41;39;0.000156132
600;50;48;0.000169498
600;46;44;0.000159158
600;41;39;0.000155181
600;39;37;0.000184336
600;43;41;0.000159409
600;43;41;0.000156623
600;50;48;0.000186119
600;44;42;0.000166042
600;46;44;0.00015502
600;36;34;0.000155411
600;39;38;0.0002027
600;45;44;0.000163286
600;44;43;0.000159068
600;42;41;0.000242865
600;53;52;0.000163076
600;53;52;0.000159399
600;44;43;0.000157806
600;49;48;0.000158076
600;49;48;0.000157245
600;36;35;0.000198322
600;44;43;0.000185628
600;42;41;0.000157004
600;45;44;0.00015999
600;48;47;0.000162835
600;47;46;0.000157776
600;44;43;0.000196499
600;53;52;0.000163506
600;55;54;0.000160982
600;45;44;0.000161833
600;39;38;0.000173816
600;45;44;0.000180669
600;40;39;0.000167264
600;32;31;0.000157755
600;39;38;0.00016009
600;45;44;0.000162935
600;40;39;0.000157956
600;34;33;0.000155942
600;43;42;0.000174527
600;39;38;0.00016022
600;40;39;0.000155622
600;48;43;0.000196047
600;34;29;0.000163015
600;44;39;0.00015977
600;45;40;0.000182261
600;48;46;0.000160321
600;46;41;0.000157906
600;36;31;0.000158868
600;47;42;0.000164939
600;47;45;0.0001601
600;45;43;0.000180629
600;42;37;0.000190827
600;42;40;0.000159169
600;38;33;0.000159058
600;48;46;0.000158126
600;44;39;0.000157305
600;43;38;0.000175459
600;44;39;0.000157676
600;33;31;0.00015425
600;36;34;0.000156693
600;38;33;0.000164148
600;43;38;0.000157686
600;34;32;0.000176921
600;46;44;0.000159359
