n;rounds;depth;time
600;27;25;0.000164819
600;37;34;0.000165179
600;31;30;0.000162665
600;26;25;0.000127519
600;35;34;0.000127289
600;40;37;0.00012833
600;31;28;0.000127759
600;37;34;0.000126748
600;32;31;0.000125835
600;40;37;0.000147747
600;34;33;0.000128841
600;27;25;0.000126087
600;39;36;0.000127058
600;31;30;0.000126156
600;34;31;0.000126297
600;24;23;0.000125405
600;39;38;0.000126788
600;28;25;0.000179436
600;32;29;0.000142988
600;50;49;0.000172032
600;51;50;0.000131927
600;45;44;0.000129823
600;48;47;0.000153728
600;39;38;0.000131366
600;39;38;0.000127129
600;58;57;0.000130364
600;45;44;0.000129563
600;45;44;0.000127749
600;62;61;0.000127079
600;48;47;0.000127699
600;56;55;0.000201608
600;48;47;0.000128721
600;54;53;0.000126217
600;53;52;0.000126828
600;49;48;0.00012823
600;39;38;0.000125976
600;38;37;0.00012774
600;52;51;0.00032609
600;40;39;0.00019779
600;44;43;0.000185407
600;48;47;0.000181871
600;47;46;0.000247766
600;57;56;0.000185748
600;45;44;0.000164028
600;53;52;0.000163967
600;57;56;0.0001603
600;61;60;0.000177783
600;49;48;0.000177312
600;68;67;0.000163787
600;35;32;0.000230312
600;33;31;0.000172784
600;32;29;0.000164138
600;41;39;0.000163005
600;32;30;0.000161041
600;30;28;0.000161543
600;30;27;0.000182001
600;32;30;0.000202079
600;30;28;0.00017047
600;41;39;0.000160982
600;35;32;0.000160701
600;32;29;0.000178254
600;36;34;0.000168195
600;49;47;0.000161253
600;40;37;0.000159368
600;38;35;0.000160611
600;43;41;0.000159538
600;45;43;0.000159388
600;31;29;0.000187061
600;33;31;0.00017087
600;47;45;0.000183584
600;35;32;0.000178384
600;36;34;0.000163166
600;44;42;0.000180087
600;49;47;0.000161592
600;48;46;0.000160511
600;47;45;0.000163978
600;47;44;0.000218169
600;37;35;0.000164568
600;44;42;0.00019731
600;58;56;0.000232686
600;52;50;0.00017059
600;51;49;0.000162194
600;49;47;0.000160781
600;40;38;0.000159508
600;53;51;0.000159769
600;49;47;0.000184015
600;56;54;0.000161372
600;55;53;0.000160601
600;64;62;0.00016014
600;53;51;0.000157896
600;46;44;0.000157645
600;60;58;0.000175229
600;50;48;0.00016034
600;53;51;0.000160611
600;54;52;0.000158727
600;60;58;0.000157625
600;56;54;0.00015486
600;38;36;0.000175209
600;50;48;0.000161002
600;63;61;0.000158416
600;48;46;0.000159058
600;53;51;0.000157305
